./jacket_google_download_images\1.jpg 1 205 78 227 216
./jacket_google_download_images\10.jpg 0
./jacket_google_download_images\11.jpg 1 115 124 180 261
./jacket_google_download_images\12.jpg 1 116 220 332 437
./jacket_google_download_images\13.jpg 1 228 275 509 402
./jacket_google_download_images\14.jpg 1 171 253 217 345
./jacket_google_download_images\15.jpg 1 57 107 173 307
./jacket_google_download_images\16.jpg 1 130 191 184 243
./jacket_google_download_images\17.jpg 1 358 236 255 241
./jacket_google_download_images\18.jpg 1 296 268 231 318
./jacket_google_download_images\19.jpg 1 52 154 201 281
./jacket_google_download_images\2.jpg 1 327 38 833 1297
./jacket_google_download_images\20.jpg 1 106 180 254 316
./jacket_google_download_images\21.jpg 1 205 288 149 206
./jacket_google_download_images\22.jpg 1 127 26 309 484
./jacket_google_download_images\23.jpg 1 126 109 177 186
./jacket_google_download_images\24.jpg 1 4 140 123 155
./jacket_google_download_images\25.jpg 1 181 433 199 236
./jacket_google_download_images\26.jpg 0
./jacket_google_download_images\27.jpg 1 165 253 286 420
./jacket_google_download_images\28.jpg 1 56 83 144 159
./jacket_google_download_images\29.jpg 1 123 151 177 276
./jacket_google_download_images\3.jpg 1 97 40 278 351
./jacket_google_download_images\30.jpg 1 137 257 341 407
./jacket_google_download_images\31.jpg 1 31 143 175 295
./jacket_google_download_images\32.jpg 0
./jacket_google_download_images\33.jpg 1 144 105 102 138
./jacket_google_download_images\34.jpg 1 239 371 483 298
./jacket_google_download_images\35.jpg 1 350 75 119 169
./jacket_google_download_images\36.jpg 1 265 301 163 178
./jacket_google_download_images\37.jpg 1 38 190 196 258
./jacket_google_download_images\38.jpg 1 54 179 200 269
./jacket_google_download_images\39.jpg 1 219 211 298 449
./jacket_google_download_images\4.jpg 1 274 186 236 287
./jacket_google_download_images\40.jpg 1 155 255 319 174
./jacket_google_download_images\41.jpg 1 186 173 537 501
./jacket_google_download_images\5.jpg 1 573 198 236 278
./jacket_google_download_images\6.jpg 1 293 239 241 231
./jacket_google_download_images\7.jpg 1 577 343 373 327
./jacket_google_download_images\8.jpg 1 40 328 454 344
./jacket_google_download_images\9.jpg 1 69 73 155 180
